,type,title,director,country,release_year,rating,listed_in,first_genre
48,Movie,Training Day,Antoine Fuqua,United States,2001-01-01,R,"Dramas, Thrillers",Dramas
49,TV Show,Castle and Castle,desconocido,Nigeria,2021-01-01,TV-MA,"International TV Shows, TV Dramas",International TV Shows
50,TV Show,Dharmakshetra,desconocido,India,2014-01-01,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",International TV Shows
51,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,2002-01-01,TV-14,"Action & Adventure, Anime Features, International Movies",Action & Adventure
52,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,2003-01-01,TV-14,"Action & Adventure, Anime Features, International Movies",Action & Adventure
53,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,2004-01-01,TV-PG,"Action & Adventure, Anime Features, International Movies",Action & Adventure
54,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,2001-01-01,TV-PG,"Action & Adventure, Anime Features, International Movies",Action & Adventure
55,TV Show,Nailed It,desconocido,United States,2021-01-01,TV-PG,Reality TV,Reality TV
56,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2011-01-01,TV-14,"Action & Adventure, Anime Features, International Movies",Action & Adventure
57,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,2008-01-01,TV-PG,"Action & Adventure, Anime Features, International Movies",Action & Adventure
58,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,2009-01-01,TV-PG,"Action & Adventure, Anime Features, International Movies",Action & Adventure
59,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,2007-01-01,TV-PG,"Action & Adventure, Anime Features, International Movies",Action & Adventure
60,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,2010-01-01,TV-14,"Action & Adventure, Anime Features, International Movies",Action & Adventure
61,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,2005-01-01,TV-PG,"Action & Adventure, Anime Features, International Movies",Action & Adventure
62,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,2006-01-01,TV-PG,"Action & Adventure, Anime Features, International Movies",Action & Adventure
63,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan,2004-01-01,TV-PG,"Action & Adventure, Anime Features, International Movies",Action & Adventure
64,Movie,Nightbooks,David Yarovesky,desconocido,2021-01-01,TV-PG,Children & Family Movies,Children & Family Movies
65,TV Show,Numberblocks,desconocido,United Kingdom,2021-01-01,TV-Y,Kids' TV,Kids' TV
66,TV Show,Raja Rasoi Aur Anya Kahaniyan,desconocido,India,2014-01-01,TV-G,"Docuseries, International TV Shows",Docuseries
67,TV Show,Saved by the Bell,desconocido,United States,1994-01-01,TV-PG,"Kids' TV, TV Comedies",Kids' TV
68,Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",desconocido,2021-01-01,TV-14,"Documentaries, International Movies, Sports Movies",Documentaries
69,TV Show,Stories by Rabindranath Tagore,desconocido,India,2015-01-01,TV-PG,"International TV Shows, TV Dramas",International TV Shows
70,TV Show,Too Hot To Handle: Latino,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",International TV Shows
71,Movie,A StoryBots Space Adventure,David A. Vargas,desconocido,2021-01-01,TV-Y,Children & Family Movies,Children & Family Movies
72,TV Show,Jack Whitehall: Travels with My Father,desconocido,United Kingdom,2021-01-01,TV-MA,"British TV Shows, Docuseries, International TV Shows",British TV Shows
73,Movie,King of Boys,Kemi Adetiba,Nigeria,2018-01-01,TV-MA,"Dramas, International Movies",Dramas
74,TV Show,The World's Most Amazing Vacation Rentals,desconocido,desconocido,2021-01-01,TV-PG,Reality TV,Reality TV
75,Movie,You vs. Wild: Out Cold,Ben Simms,desconocido,2021-01-01,TV-G,Children & Family Movies,Children & Family Movies
76,TV Show,Yowamushi Pedal,desconocido,Japan,2013-01-01,TV-14,"Anime Series, International TV Shows",Anime Series
77,Movie,Little Singham - Black Shadow,Prakash Satam,desconocido,2021-01-01,TV-Y7,"Children & Family Movies, Comedies",Children & Family Movies
78,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,desconocido,2020-01-01,TV-14,"Comedies, Dramas, International Movies",Comedies
79,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,desconocido,2021-01-01,TV-14,"Comedies, Dramas, International Movies",Comedies
80,Movie,Firedrake the Silver Dragon,Tomer Eshed,desconocido,2021-01-01,TV-Y7,Children & Family Movies,Children & Family Movies
81,Movie,Kate,Cedric Nicolas-Troyan,United States,2021-01-01,R,Action & Adventure,Action & Adventure
82,TV Show,Lucifer,desconocido,United States,2021-01-01,TV-14,"Crime TV Shows, TV Comedies, TV Dramas",Crime TV Shows
83,TV Show,Metal Shop Masters,desconocido,desconocido,2021-01-01,TV-MA,Reality TV,Reality TV
84,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,2020-01-01,TV-MA,"Action & Adventure, Comedies, Dramas",Action & Adventure
85,TV Show,Pokémon Master Journeys: The Series,desconocido,desconocido,2021-01-01,TV-Y7,"Anime Series, Kids' TV",Anime Series
86,Movie,Prey,Thomas Sieben,desconocido,2021-01-01,TV-MA,"International Movies, Thrillers",International Movies
87,TV Show,Titipo Titipo,desconocido,desconocido,2019-01-01,TV-Y,"Kids' TV, Korean TV Shows",Kids' TV
88,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,desconocido,2021-01-01,PG-13,"Documentaries, Sports Movies",Documentaries
89,TV Show,Mighty Raju,desconocido,desconocido,2017-01-01,TV-Y7,Kids' TV,Kids' TV
90,Movie,Paradise Hills,Alice Waddington,"Spain, United States",2019-01-01,TV-MA,"Sci-Fi & Fantasy, Thrillers",Sci-Fi & Fantasy
91,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,2021-01-01,TV-14,"Documentaries, International Movies",Documentaries
92,TV Show,Into the Night,desconocido,Belgium,2021-01-01,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows
93,Movie,JJ+E,Alexis Almström,desconocido,2021-01-01,TV-MA,"Dramas, International Movies, Romantic Movies",Dramas
94,Movie,Show Dogs,Raja Gosnell,"United Kingdom, United States",2018-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
95,TV Show,The Circle,desconocido,"United States, United Kingdom",2021-01-01,TV-MA,Reality TV,Reality TV
96,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2018-01-01,TV-MA,"Documentaries, Music & Musicals",Documentaries
97,TV Show,Kid Cosmic,desconocido,United States,2021-01-01,TV-Y7,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",Kids' TV
98,TV Show,Octonauts: Above & Beyond,desconocido,United Kingdom,2021-01-01,TV-Y,"British TV Shows, Kids' TV",British TV Shows
99,TV Show,On the Verge,desconocido,"France, United States",2021-01-01,TV-MA,"TV Comedies, TV Dramas",TV Comedies
100,TV Show,Tobot Galaxy Detectives,desconocido,desconocido,2019-01-01,TV-Y7,Kids' TV,Kids' TV
101,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,2021-01-01,TV-MA,"Documentaries, Sports Movies",Documentaries
102,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,desconocido,2021-01-01,TV-14,"Docuseries, Science & Nature TV",Docuseries
103,Movie,Shadow Parties,Yemi Amodu,desconocido,2020-01-01,TV-MA,"Dramas, International Movies, Thrillers",Dramas
104,TV Show,Tayo the Little Bus,desconocido,South Korea,2016-01-01,TV-Y,"Kids' TV, Korean TV Shows",Kids' TV
105,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2017-01-01,TV-14,"Action & Adventure, Comedies, Dramas",Action & Adventure
106,TV Show,Bunk'd,desconocido,United States,2021-01-01,TV-G,"Kids' TV, TV Comedies",Kids' TV
107,Movie,A Champion Heart,David de Vos,United States,2018-01-01,G,"Children & Family Movies, Dramas",Children & Family Movies
108,TV Show,Dive Club,desconocido,Australia,2021-01-01,TV-G,"Kids' TV, TV Dramas, Teen TV Shows",Kids' TV
109,TV Show,La casa de papel,desconocido,Spain,2021-01-01,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows
110,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",desconocido,2021-01-01,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows",Docuseries
111,TV Show,Sharkdog,desconocido,"United States, Singapore",2021-01-01,TV-Y,Kids' TV,Kids' TV
112,Movie,Worth,Sara Colangelo,desconocido,2021-01-01,PG-13,Dramas,Dramas
113,Movie,Afterlife of the Party,Stephen Herek,desconocido,2021-01-01,TV-PG,"Comedies, Romantic Movies",Comedies
114,Movie,Anjaam,Rahul Rawail,India,1994-01-01,TV-14,"Dramas, International Movies, Thrillers",Dramas
115,Movie,Bright Star,Jane Campion,"United Kingdom, Australia, France",2009-01-01,PG,"Dramas, Romantic Movies",Dramas
116,Movie,Dhanak,Nagesh Kukunoor,India,2015-01-01,TV-PG,"Comedies, Dramas, Independent Movies",Comedies
117,Movie,Final Account,Luke Holland,"United Kingdom, United States",2021-01-01,PG-13,Documentaries,Documentaries
118,Movie,Gurgaon,Shanker Raman,India,2017-01-01,TV-14,"Dramas, International Movies, Thrillers",Dramas
119,Movie,Here and There,JP Habac,desconocido,2020-01-01,TV-MA,"Dramas, International Movies, Romantic Movies",Dramas
120,TV Show,Heroes of Goo Jit Zu,desconocido,Australia,2021-01-01,TV-Y7,"Kids' TV, TV Comedies",Kids' TV
121,TV Show,Hotel Del Luna,desconocido,desconocido,2019-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
122,Movie,In the Cut,Jane Campion,"United Kingdom, Australia, France, United States",2003-01-01,R,Thrillers,Thrillers
123,TV Show,Luv Kushh,desconocido,desconocido,2012-01-01,TV-Y7,Kids' TV,Kids' TV
124,TV Show,Pororo - The Little Penguin,desconocido,South Korea,2013-01-01,TV-Y7,"Kids' TV, Korean TV Shows",Kids' TV
125,TV Show,Q-Force,desconocido,United States,2021-01-01,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies",Crime TV Shows
126,Movie,Shikara,Vidhu Vinod Chopra,India,2020-01-01,TV-14,"Dramas, International Movies, Romantic Movies",Dramas
127,Movie,A Cinderella Story,Mark Rosman,"United States, Canada",2004-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
128,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,desconocido,2017-01-01,PG-13,"Dramas, International Movies, Thrillers",Dramas
129,Movie,An Unfinished Life,Lasse Hallström,"Germany, United States",2005-01-01,PG-13,Dramas,Dramas
130,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,desconocido,2021-01-01,TV-Y,"Children & Family Movies, Music & Musicals",Children & Family Movies
131,Movie,Blade Runner: The Final Cut,Ridley Scott,United States,1982-01-01,R,"Action & Adventure, Classic Movies, Cult Movies",Action & Adventure
132,TV Show,Brave Animated Series,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies",International TV Shows
133,Movie,Chappie,Neill Blomkamp,"South Africa, United States",2015-01-01,R,"Action & Adventure, Sci-Fi & Fantasy",Action & Adventure
134,Movie,Clear and Present Danger,Phillip Noyce,"United States, Mexico",1994-01-01,PG-13,"Action & Adventure, Dramas",Action & Adventure
135,Movie,Cliffhanger,Renny Harlin,"United States, Italy, France, Japan",1993-01-01,R,Action & Adventure,Action & Adventure
136,Movie,Cold Mountain,Anthony Minghella,"United States, Italy, Romania, United Kingdom",2003-01-01,R,"Dramas, Romantic Movies",Dramas
137,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,"Australia, United States",2001-01-01,PG,"Action & Adventure, Comedies",Action & Adventure
138,Movie,Dear John,Lasse Hallström,United States,2010-01-01,PG-13,"Dramas, Romantic Movies",Dramas
139,Movie,Do the Right Thing,Spike Lee,United States,1989-01-01,R,"Classic Movies, Comedies, Dramas",Classic Movies
140,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,"Argentina, Venezuela",2014-01-01,TV-MA,"Dramas, International Movies, Thrillers",Dramas
141,Movie,Extraction,Steven C. Miller,"United States, United Kingdom, Canada",2015-01-01,R,Action & Adventure,Action & Adventure
142,Movie,Freedom Writers,Richard LaGravenese,"Germany, United States",2007-01-01,PG-13,Dramas,Dramas
143,Movie,Green Lantern,Martin Campbell,United States,2011-01-01,PG-13,"Action & Adventure, Sci-Fi & Fantasy",Action & Adventure
144,Movie,House Party,Reginald Hudlin,United States,1990-01-01,R,"Comedies, Cult Movies",Comedies
145,Movie,House Party 2,"George Jackson, Doug McHenry",United States,1991-01-01,R,"Comedies, Cult Movies, Music & Musicals",Comedies
146,Movie,House Party 3,Eric Meza,United States,1994-01-01,R,"Comedies, Music & Musicals",Comedies
147,TV Show,How to Be a Cowboy,desconocido,desconocido,2021-01-01,TV-PG,Reality TV,Reality TV
148,TV Show,HQ Barbers,Gerhard Mostert,desconocido,2020-01-01,TV-14,TV Shows,TV Shows
149,Movie,I Got the Hook Up,Michael Martin,United States,1998-01-01,R,"Action & Adventure, Comedies",Action & Adventure
150,Movie,In Too Deep,Michael Rymer,United States,1999-01-01,R,Thrillers,Thrillers
151,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak","China, Hong Kong",2005-01-01,TV-14,"Action & Adventure, International Movies",Action & Adventure
152,Movie,Janoskians: Untold and Untrue,Brett Weiner,United States,2016-01-01,TV-MA,Comedies,Comedies
153,TV Show,Kid-E-Cats,desconocido,Russia,2016-01-01,TV-Y,Kids' TV,Kids' TV
154,TV Show,Kuroko's Basketball,desconocido,Japan,2015-01-01,TV-MA,"Anime Series, International TV Shows, Teen TV Shows",Anime Series
155,Movie,Labyrinth,Jim Henson,"United Kingdom, United States",1986-01-01,PG,"Action & Adventure, Children & Family Movies, Cult Movies",Action & Adventure
156,Movie,Letters to Juliet,Gary Winick,United States,2010-01-01,PG,"Comedies, Dramas, Romantic Movies",Comedies
157,Movie,Level 16,Danishka Esterhazy,Canada,2018-01-01,TV-14,"Sci-Fi & Fantasy, Thrillers",Sci-Fi & Fantasy
158,Movie,Love Don't Cost a Thing,Troy Byer,United States,2003-01-01,PG-13,"Comedies, Romantic Movies",Comedies
159,Movie,Love in a Puff,Pang Ho-cheung,Hong Kong,2010-01-01,TV-MA,"Comedies, Dramas, International Movies",Comedies
160,TV Show,Major Dad,desconocido,United States,1992-01-01,TV-PG,TV Comedies,TV Comedies
161,Movie,Mars Attacks!,Tim Burton,United States,1996-01-01,PG-13,"Comedies, Cult Movies, Sci-Fi & Fantasy",Comedies
162,Movie,Marshall,Reginald Hudlin,"United States, China, Hong Kong",2017-01-01,PG-13,Dramas,Dramas
163,Movie,My Boss's Daughter,David Zucker,United States,2003-01-01,R,"Comedies, Romantic Movies",Comedies
164,Movie,Mystery Men,Kinka Usher,United States,1999-01-01,PG-13,"Action & Adventure, Comedies",Action & Adventure
165,TV Show,Oldsters,desconocido,desconocido,2019-01-01,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows
166,Movie,Once Upon a Time in America,Sergio Leone,"Italy, United States",1984-01-01,R,"Classic Movies, Dramas",Classic Movies
167,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman","United States, Canada",2008-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
168,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",United States,2001-01-01,PG,"Action & Adventure, Children & Family Movies, Comedies",Action & Adventure
169,Movie,Poseidon,Wolfgang Petersen,United States,2006-01-01,PG-13,"Action & Adventure, Dramas",Action & Adventure
170,Movie,Rhyme & Reason,Peter Spirer,United States,1997-01-01,R,"Documentaries, Music & Musicals",Documentaries
171,Movie,Same Kind of Different as Me,Michael Carney,United States,2017-01-01,PG-13,"Dramas, Faith & Spirituality",Dramas
172,Movie,School of Rock,Richard Linklater,"United States, Germany",2003-01-01,PG-13,"Comedies, Music & Musicals",Comedies
173,Movie,Snervous Tyler Oakley,Amy Rice,United States,2015-01-01,PG-13,"Documentaries, LGBTQ Movies",Documentaries
174,Movie,Tears of the Sun,Antoine Fuqua,United States,2003-01-01,R,"Action & Adventure, Dramas",Action & Adventure
175,Movie,The Blue Lagoon,Randal Kleiser,United States,1980-01-01,R,"Dramas, Romantic Movies",Dramas
176,Movie,The Golden Child,Michael Ritchie,United States,1986-01-01,PG-13,"Action & Adventure, Comedies",Action & Adventure
177,Movie,The Guns of Navarone,J. Lee Thompson,"United Kingdom, United States",1961-01-01,TV-14,"Action & Adventure, Classic Movies",Action & Adventure
178,Movie,The Interview,"Evan Goldberg, Seth Rogen",United States,2014-01-01,R,"Action & Adventure, Comedies",Action & Adventure
179,Movie,The Nutty Professor,Tom Shadyac,United States,1996-01-01,PG-13,"Comedies, Romantic Movies",Comedies
180,Movie,The Nutty Professor II: The Klumps,Peter Segal,desconocido,2000-01-01,PG-13,"Comedies, Romantic Movies",Comedies
181,TV Show,Turning Point: 9/11 and the War on Terror,desconocido,desconocido,2021-01-01,TV-14,Docuseries,Docuseries
182,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,United States,2008-01-01,PG-13,Comedies,Comedies
183,Movie,In the Line of Fire,Wolfgang Petersen,United States,1993-01-01,R,"Action & Adventure, Classic Movies",Action & Adventure
184,TV Show,Sparking Joy,desconocido,United States,2021-01-01,TV-PG,Reality TV,Reality TV
185,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",desconocido,2021-01-01,TV-MA,"Documentaries, Sports Movies",Documentaries
186,TV Show,Hometown Cha-Cha-Cha,desconocido,desconocido,2021-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
187,TV Show,The Ingenuity of the Househusband,desconocido,desconocido,2021-01-01,TV-G,"International TV Shows, TV Comedies",International TV Shows
188,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",France,2008-01-01,TV-MA,"Comedies, International Movies",Comedies
189,TV Show,Bread Barbershop,desconocido,desconocido,2020-01-01,TV-Y,"Kids' TV, TV Comedies",Kids' TV
190,Movie,Thimmarusu,Sharan Koppisetty,India,2021-01-01,TV-14,"Dramas, International Movies",Dramas
191,Movie,Wind River,Taylor Sheridan,"United Kingdom, Canada, United States",2017-01-01,R,"Dramas, Independent Movies",Dramas
192,Movie,C Kkompany,Sachin Yardi,India,2008-01-01,TV-14,"Action & Adventure, Comedies, International Movies",Action & Adventure
193,TV Show,D.P.,desconocido,", South Korea",2021-01-01,TV-MA,"International TV Shows, TV Dramas",International TV Shows
194,TV Show,Deadly Sins,desconocido,desconocido,2002-01-01,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",International TV Shows
195,Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,India,2008-01-01,TV-14,"Comedies, Dramas, International Movies",Comedies
196,Movie,He's All That,Mark Waters,desconocido,2021-01-01,TV-14,"Comedies, Romantic Movies",Comedies
197,TV Show,I Heart Arlo,desconocido,desconocido,2021-01-01,TV-Y7,"Kids' TV, TV Comedies",Kids' TV
198,TV Show,King of Boys: The Return of the King,Kemi Adetiba,Nigeria,2021-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows
199,Movie,Koi Aap Sa,Partho Mitra,India,2006-01-01,TV-14,"Comedies, Dramas, International Movies",Comedies
200,Movie,Krishna Cottage,Santram Varma,India,2004-01-01,TV-14,"Action & Adventure, Horror Movies, International Movies",Action & Adventure
201,Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu",India,2003-01-01,TV-14,"Dramas, International Movies, Thrillers",Dramas
202,Movie,Kyaa Kool Hai Hum,Sangeeth Sivan,India,2005-01-01,TV-MA,"Comedies, International Movies, Music & Musicals",Comedies
203,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,India,2016-01-01,TV-MA,"Comedies, International Movies",Comedies
204,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,India,2012-01-01,TV-MA,"Comedies, International Movies",Comedies
205,Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,India,2001-01-01,TV-14,"Comedies, International Movies, Sci-Fi & Fantasy",Comedies
206,Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,India,2010-01-01,TV-MA,"Dramas, Independent Movies, International Movies",Dramas
207,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,India,2008-01-01,TV-14,"Action & Adventure, International Movies, Music & Musicals",Action & Adventure
208,Movie,Once Upon a Time in Mumbaai,Milan Luthria,India,2010-01-01,TV-14,"Dramas, International Movies, Music & Musicals",Dramas
209,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,2013-01-01,TV-14,"Dramas, International Movies, Music & Musicals",Dramas
210,Movie,Ragini MMS,Pawan Kripalani,India,2011-01-01,TV-MA,"Horror Movies, International Movies",Horror Movies
